Accuracy,Precision,Recall,F1-Score,TP,TN,FP,FN,Algorithm,Ngrams,Feature Extraction,Training Dataset,Test Dataset,Test Distribution,F_Question_mark,Binary Representation,Stop words,Additional Settings,Fitting Time,Prediction Time
0.917081560604689,0.9176155391828533,0.9942975635044065,0.9544187898089173,9590.0,541.0,861.0,55.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,,True,1.2158749103546143,3.0877389907836914
0.917081560604689,0.9176155391828533,0.9942975635044065,0.9544187898089173,9590.0,541.0,861.0,55.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,,True,1.2158749103546143,3.057429552078247
0.5423003802281369,0.5341796875,0.9918404351767905,0.6943827356394795,1094.0,47.0,954.0,9.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,True,,True,1.2158749103546143,0.3121645450592041
0.8991581424821219,0.8975673408518967,0.9984447900466563,0.9453224698144693,9630.0,303.0,1099.0,15.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,,False,1.7686045169830322,4.611281394958496
0.8991581424821219,0.8975673408518967,0.9984447900466563,0.9453224698144693,9630.0,303.0,1099.0,15.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,,False,1.7686045169830322,4.554860591888428
0.5318441064638784,0.5282837967401726,0.99909338168631,0.6911257447475698,1102.0,17.0,984.0,1.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,True,,False,1.7686045169830322,0.5016579627990723
0.9136417126821762,0.9142121818701744,0.9944012441679627,0.952622169249106,9591.0,502.0,900.0,54.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,english,True,1.059166431427002,2.7718346118927
0.9136417126821762,0.9142121818701744,0.9944012441679627,0.952622169249106,9591.0,502.0,900.0,54.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,english,True,1.059166431427002,2.7089765071868896
0.5470532319391636,0.536692759295499,0.9945602901178604,0.6971719097553225,1097.0,54.0,947.0,6.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,False,english,True,1.059166431427002,0.2672841548919678
0.8958088168733593,0.8947026022304833,0.9981337480559875,0.9435922567998039,9627.0,269.0,1133.0,18.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,english,False,1.5896472930908203,4.257023334503174
0.8958088168733593,0.8947026022304833,0.9981337480559875,0.9435922567998039,9627.0,269.0,1133.0,18.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,english,False,1.5896472930908203,4.194780349731445
0.5313688212927756,0.5280038295835328,1.0,0.6911027568922306,1103.0,15.0,986.0,0.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,False,english,False,1.5896472930908203,0.45475196838378906
0.9159047705259347,0.9156017547205798,0.9954380508035251,0.9538522676469127,9601.0,517.0,885.0,44.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,,True,1.1205253601074219,3.3496618270874023
0.9159047705259347,0.9156017547205798,0.9954380508035251,0.9538522676469127,9601.0,517.0,885.0,44.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,,True,1.1205253601074219,3.5788631439208984
0.5413498098859315,0.5336585365853659,0.9918404351767905,0.6939422771963211,1094.0,45.0,956.0,9.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,False,,True,1.1205253601074219,0.33011817932128906
0.896804562324613,0.8956918209732949,0.9980300673924313,0.9440957238132602,9626.0,281.0,1121.0,19.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,,False,2.1762235164642334,4.8713157176971436
0.896804562324613,0.8956918209732949,0.9980300673924313,0.9440957238132602,9626.0,281.0,1121.0,19.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,,False,2.1762235164642334,4.545133113861084
